Material,Dia,pp,TEMP,adm,Dem,target
61505.0,2019-03-29,0.0,15.2,165,100,3.0
61528.0,2019-03-29,0.0,15.2,165,100,3.0
61536.0,2019-03-29,0.0,15.2,165,100,3.0
61549.0,2019-03-29,0.0,15.2,165,100,3.0
61570.0,2019-03-29,0.0,15.2,165,100,3.0
61581.0,2019-03-29,0.0,15.2,165,100,3.0
61612.0,2019-03-29,0.0,15.2,165,100,3.0
61632.0,2019-03-29,0.0,15.2,165,100,3.0
61635.0,2019-03-29,0.0,15.2,165,100,3.0
42326.0,2019-03-29,0.0,15.2,165,100,4.0
61394.0,2019-03-29,0.0,15.2,165,100,4.0
61440.0,2019-03-29,0.0,15.2,165,100,4.0
61443.0,2019-03-29,0.0,15.2,165,100,4.0
61485.0,2019-03-29,0.0,15.2,165,100,4.0
61495.0,2019-03-29,0.0,15.2,165,100,4.0
61501.0,2019-03-29,0.0,15.2,165,100,4.0
61502.0,2019-03-29,0.0,15.2,165,100,4.0
61522.0,2019-03-29,0.0,15.2,165,100,4.0
61541.0,2019-03-29,0.0,15.2,165,100,4.0
61500.0,2019-03-29,0.0,15.2,165,100,5.0
61516.0,2019-03-29,0.0,15.2,165,100,5.0
61523.0,2019-03-29,0.0,15.2,165,100,5.0
61602.0,2019-03-29,0.0,15.2,165,100,5.0
61625.0,2019-03-29,0.0,15.2,165,100,5.0
61422.0,2019-03-29,0.0,15.2,165,100,6.0
61431.0,2019-03-29,0.0,15.2,165,100,6.0
61439.0,2019-03-29,0.0,15.2,165,100,6.0
61444.0,2019-03-29,0.0,15.2,165,100,6.0
61590.0,2019-03-29,0.0,15.2,165,100,6.0
61593.0,2019-03-29,0.0,15.2,165,100,6.0
61603.0,2019-03-29,0.0,15.2,165,100,6.0
61634.0,2019-03-29,0.0,15.2,165,100,6.0
61405.0,2019-03-29,0.0,15.2,165,100,8.0
61421.0,2019-03-29,0.0,15.2,165,100,8.0
61496.0,2019-03-29,0.0,15.2,165,100,8.0
61551.0,2019-03-29,0.0,15.2,165,100,8.0
61637.0,2019-03-29,0.0,15.2,165,100,8.0
61388.0,2019-03-29,0.0,15.2,165,100,9.0
61404.0,2019-03-29,0.0,15.2,165,100,9.0
61438.0,2019-03-29,0.0,15.2,165,100,9.0
61488.0,2019-03-29,0.0,15.2,165,100,9.0
61489.0,2019-03-29,0.0,15.2,165,100,9.0
61494.0,2019-03-29,0.0,15.2,165,100,9.0
61534.0,2019-03-29,0.0,15.2,165,100,9.0
61586.0,2019-03-29,0.0,15.2,165,100,9.0
61629.0,2019-03-29,0.0,15.2,165,100,9.0
5381.0,2019-03-29,0.0,15.2,165,100,10.0
61527.0,2019-03-29,0.0,15.2,165,100,10.0
61529.0,2019-03-29,0.0,15.2,165,100,10.0
61592.0,2019-03-29,0.0,15.2,165,100,10.0
61595.0,2019-03-29,0.0,15.2,165,100,10.0
61631.0,2019-03-29,0.0,15.2,165,100,10.0
61448.0,2019-03-29,0.0,15.2,165,100,12.0
61571.0,2019-03-29,0.0,15.2,165,100,12.0
61594.0,2019-03-29,0.0,15.2,165,100,13.0
61432.0,2019-03-29,0.0,15.2,165,100,14.0
61464.0,2019-03-29,0.0,15.2,165,100,14.0
61511.0,2019-03-29,0.0,15.2,165,100,14.0
44556.0,2019-03-29,0.0,15.2,165,100,16.0
61420.0,2019-03-29,0.0,15.2,165,100,16.0
61512.0,2019-03-29,0.0,15.2,165,100,17.0
61521.0,2019-03-29,0.0,15.2,165,100,18.0
61638.0,2019-03-29,0.0,15.2,165,100,18.0
61386.0,2019-03-29,0.0,15.2,165,100,19.0
61396.0,2019-03-29,0.0,15.2,165,100,19.0
61447.0,2019-03-29,0.0,15.2,165,100,19.0
61490.0,2019-03-29,0.0,15.2,165,100,19.0
61417.0,2019-03-29,0.0,15.2,165,100,20.0
61465.0,2019-03-29,0.0,15.2,165,100,20.0
61449.0,2019-03-29,0.0,15.2,165,100,21.0
61639.0,2019-03-29,0.0,15.2,165,100,21.0
61530.0,2019-03-29,0.0,15.2,165,100,23.0
61395.0,2019-03-29,0.0,15.2,165,100,24.0
61434.0,2019-03-29,0.0,15.2,165,100,24.0
61457.0,2019-03-29,0.0,15.2,165,100,26.0
61469.0,2019-03-29,0.0,15.2,165,100,26.0
61456.0,2019-03-29,0.0,15.2,165,100,27.0
61531.0,2019-03-29,0.0,15.2,165,100,28.0
61535.0,2019-03-29,0.0,15.2,165,100,28.0
61458.0,2019-03-29,0.0,15.2,165,100,32.0
61419.0,2019-03-29,0.0,15.2,165,100,34.0
61437.0,2019-03-29,0.0,15.2,165,100,34.0
61433.0,2019-03-29,0.0,15.2,165,100,36.0
61436.0,2019-03-29,0.0,15.2,165,100,37.0
61480.0,2019-03-29,0.0,15.2,165,100,37.0
61520.0,2019-03-29,0.0,15.2,165,100,40.0
61459.0,2019-03-29,0.0,15.2,165,100,41.0
61515.0,2019-03-29,0.0,15.2,165,100,41.0
61630.0,2019-03-29,0.0,15.2,165,100,42.0
61418.0,2019-03-29,0.0,15.2,165,100,43.0
61468.0,2019-03-29,0.0,15.2,165,100,48.0
61513.0,2019-03-29,0.0,15.2,165,100,52.0
61435.0,2019-03-29,0.0,15.2,165,100,54.0
61407.0,2019-03-29,0.0,15.2,165,100,59.0
61467.0,2019-03-29,0.0,15.2,165,100,69.0
61387.0,2019-03-29,0.0,15.2,165,100,72.0
62040.0,2019-03-29,0.0,15.2,165,100,75.0
61285.0,2019-03-29,0.0,15.2,165,100,80.0
61533.0,2019-03-29,0.0,15.2,165,100,91.0
61466.0,2019-03-29,0.0,15.2,165,100,93.0
61514.0,2019-03-29,0.0,15.2,165,100,94.0
61283.0,2019-03-29,0.0,15.2,165,100,140.0
61532.0,2019-03-29,0.0,15.2,165,100,154.0
61482.0,2019-03-29,0.0,15.2,165,100,156.0
61281.0,2019-03-29,0.0,15.2,165,100,160.0
61330.0,2019-03-29,0.0,15.2,165,100,165.0
61286.0,2019-03-29,0.0,15.2,165,100,250.0
61274.0,2019-03-29,0.0,15.2,165,100,328.0
5388.0,2019-03-29,0.0,15.2,165,100,393.0
5367.0,2019-03-29,0.0,15.2,165,100,437.0
61282.0,2019-03-29,0.0,15.2,165,100,700.0
61462.0,2019-06-28,0.0,19.7,144,85,1.0
61474.0,2019-06-28,0.0,19.7,144,85,1.0
61475.0,2019-06-28,0.0,19.7,144,85,1.0
61478.0,2019-06-28,0.0,19.7,144,85,1.0
61497.0,2019-06-28,0.0,19.7,144,85,1.0
61583.0,2019-06-28,0.0,19.7,144,85,1.0
61586.0,2019-06-28,0.0,19.7,144,85,1.0
61610.0,2019-06-28,0.0,19.7,144,85,1.0
61611.0,2019-06-28,0.0,19.7,144,85,1.0
61613.0,2019-06-28,0.0,19.7,144,85,1.0
61626.0,2019-06-28,0.0,19.7,144,85,1.0
61420.0,2019-06-28,0.0,19.7,144,85,2.0
61431.0,2019-06-28,0.0,19.7,144,85,2.0
61443.0,2019-06-28,0.0,19.7,144,85,2.0
61446.0,2019-06-28,0.0,19.7,144,85,2.0
61453.0,2019-06-28,0.0,19.7,144,85,2.0
61464.0,2019-06-28,0.0,19.7,144,85,2.0
61487.0,2019-06-28,0.0,19.7,144,85,2.0
61500.0,2019-06-28,0.0,19.7,144,85,2.0
61511.0,2019-06-28,0.0,19.7,144,85,2.0
61596.0,2019-06-28,0.0,19.7,144,85,2.0
61612.0,2019-06-28,0.0,19.7,144,85,2.0
61618.0,2019-06-28,0.0,19.7,144,85,2.0
61485.0,2019-06-28,0.0,19.7,144,85,3.0
61501.0,2019-06-28,0.0,19.7,144,85,3.0
61534.0,2019-06-28,0.0,19.7,144,85,3.0
61598.0,2019-06-28,0.0,19.7,144,85,3.0
61600.0,2019-06-28,0.0,19.7,144,85,3.0
61619.0,2019-06-28,0.0,19.7,144,85,3.0
44242.0,2019-06-28,0.0,19.7,144,85,4.0
61394.0,2019-06-28,0.0,19.7,144,85,4.0
61395.0,2019-06-28,0.0,19.7,144,85,4.0
61581.0,2019-06-28,0.0,19.7,144,85,4.0
61592.0,2019-06-28,0.0,19.7,144,85,4.0
61595.0,2019-06-28,0.0,19.7,144,85,4.0
61632.0,2019-06-28,0.0,19.7,144,85,4.0
61519.0,2019-06-28,0.0,19.7,144,85,5.0
61522.0,2019-06-28,0.0,19.7,144,85,5.0
61629.0,2019-06-28,0.0,19.7,144,85,5.0
61470.0,2019-06-28,0.0,19.7,144,85,6.0
61488.0,2019-06-28,0.0,19.7,144,85,6.0
61587.0,2019-06-28,0.0,19.7,144,85,6.0
61617.0,2019-06-28,0.0,19.7,144,85,6.0
44382.0,2019-06-28,0.0,19.7,144,85,7.0
61469.0,2019-06-28,0.0,19.7,144,85,7.0
61579.0,2019-06-28,0.0,19.7,144,85,7.0
61386.0,2019-06-28,0.0,19.7,144,85,8.0
61441.0,2019-06-28,0.0,19.7,144,85,8.0
61460.0,2019-06-28,0.0,19.7,144,85,8.0
61479.0,2019-06-28,0.0,19.7,144,85,8.0
61483.0,2019-06-28,0.0,19.7,144,85,8.0
61484.0,2019-06-28,0.0,19.7,144,85,8.0
61490.0,2019-06-28,0.0,19.7,144,85,8.0
61624.0,2019-06-28,0.0,19.7,144,85,8.0
61439.0,2019-06-28,0.0,19.7,144,85,9.0
61449.0,2019-06-28,0.0,19.7,144,85,9.0
61599.0,2019-06-28,0.0,19.7,144,85,9.0
5381.0,2019-06-28,0.0,19.7,144,85,10.0
61398.0,2019-06-28,0.0,19.7,144,85,10.0
61489.0,2019-06-28,0.0,19.7,144,85,10.0
61518.0,2019-06-28,0.0,19.7,144,85,10.0
61531.0,2019-06-28,0.0,19.7,144,85,10.0
61594.0,2019-06-28,0.0,19.7,144,85,10.0
61625.0,2019-06-28,0.0,19.7,144,85,10.0
61631.0,2019-06-28,0.0,19.7,144,85,10.0
61536.0,2019-06-28,0.0,19.7,144,85,11.0
61405.0,2019-06-28,0.0,19.7,144,85,12.0
61438.0,2019-06-28,0.0,19.7,144,85,12.0
61456.0,2019-06-28,0.0,19.7,144,85,13.0
61396.0,2019-06-28,0.0,19.7,144,85,14.0
61440.0,2019-06-28,0.0,19.7,144,85,15.0
61437.0,2019-06-28,0.0,19.7,144,85,16.0
61480.0,2019-06-28,0.0,19.7,144,85,16.0
61520.0,2019-06-28,0.0,19.7,144,85,16.0
61468.0,2019-06-28,0.0,19.7,144,85,18.0
5386.0,2019-06-28,0.0,19.7,144,85,19.0
61282.0,2019-06-28,0.0,19.7,144,85,20.0
61285.0,2019-06-28,0.0,19.7,144,85,20.0
61418.0,2019-06-28,0.0,19.7,144,85,20.0
61436.0,2019-06-28,0.0,19.7,144,85,20.0
61434.0,2019-06-28,0.0,19.7,144,85,22.0
61630.0,2019-06-28,0.0,19.7,144,85,22.0
61448.0,2019-06-28,0.0,19.7,144,85,25.0
61593.0,2019-06-28,0.0,19.7,144,85,25.0
61432.0,2019-06-28,0.0,19.7,144,85,27.0
61433.0,2019-06-28,0.0,19.7,144,85,28.0
61458.0,2019-06-28,0.0,19.7,144,85,28.0
61459.0,2019-06-28,0.0,19.7,144,85,28.0
61516.0,2019-06-28,0.0,19.7,144,85,32.0
61571.0,2019-06-28,0.0,19.7,144,85,38.0
61330.0,2019-06-28,0.0,19.7,144,85,40.0
61419.0,2019-06-28,0.0,19.7,144,85,40.0
61457.0,2019-06-28,0.0,19.7,144,85,40.0
61515.0,2019-06-28,0.0,19.7,144,85,40.0
61512.0,2019-06-28,0.0,19.7,144,85,44.0
61387.0,2019-06-28,0.0,19.7,144,85,46.0
61482.0,2019-06-28,0.0,19.7,144,85,47.0
61286.0,2019-06-28,0.0,19.7,144,85,48.0
61388.0,2019-06-28,0.0,19.7,144,85,49.0
61573.0,2019-06-28,0.0,19.7,144,85,50.0
61417.0,2019-06-28,0.0,19.7,144,85,53.0
61406.0,2019-06-28,0.0,19.7,144,85,71.0
61465.0,2019-06-28,0.0,19.7,144,85,71.0
61513.0,2019-06-28,0.0,19.7,144,85,74.0
61435.0,2019-06-28,0.0,19.7,144,85,80.0
61514.0,2019-06-28,0.0,19.7,144,85,80.0
61407.0,2019-06-28,0.0,19.7,144,85,89.0
61532.0,2019-06-28,0.0,19.7,144,85,97.0
61533.0,2019-06-28,0.0,19.7,144,85,99.0
61466.0,2019-06-28,0.0,19.7,144,85,133.0
61467.0,2019-06-28,0.0,19.7,144,85,152.0
61535.0,2019-06-28,0.0,19.7,144,85,185.0
61403.0,2019-09-30,0.0,19.5,85,85,1.0
61423.0,2019-09-30,0.0,19.5,85,85,1.0
61455.0,2019-09-30,0.0,19.5,85,85,1.0
61462.0,2019-09-30,0.0,19.5,85,85,1.0
61464.0,2019-09-30,0.0,19.5,85,85,1.0
61473.0,2019-09-30,0.0,19.5,85,85,1.0
61493.0,2019-09-30,0.0,19.5,85,85,1.0
61495.0,2019-09-30,0.0,19.5,85,85,1.0
61497.0,2019-09-30,0.0,19.5,85,85,1.0
61500.0,2019-09-30,0.0,19.5,85,85,1.0
61505.0,2019-09-30,0.0,19.5,85,85,1.0
61587.0,2019-09-30,0.0,19.5,85,85,1.0
61611.0,2019-09-30,0.0,19.5,85,85,1.0
61617.0,2019-09-30,0.0,19.5,85,85,1.0
61385.0,2019-09-30,0.0,19.5,85,85,2.0
61393.0,2019-09-30,0.0,19.5,85,85,2.0
61402.0,2019-09-30,0.0,19.5,85,85,2.0
61427.0,2019-09-30,0.0,19.5,85,85,2.0
61443.0,2019-09-30,0.0,19.5,85,85,2.0
61476.0,2019-09-30,0.0,19.5,85,85,2.0
61491.0,2019-09-30,0.0,19.5,85,85,2.0
61501.0,2019-09-30,0.0,19.5,85,85,2.0
61549.0,2019-09-30,0.0,19.5,85,85,2.0
61564.0,2019-09-30,0.0,19.5,85,85,2.0
61565.0,2019-09-30,0.0,19.5,85,85,2.0
61581.0,2019-09-30,0.0,19.5,85,85,2.0
61593.0,2019-09-30,0.0,19.5,85,85,2.0
61600.0,2019-09-30,0.0,19.5,85,85,2.0
61605.0,2019-09-30,0.0,19.5,85,85,2.0
61442.0,2019-09-30,0.0,19.5,85,85,3.0
61446.0,2019-09-30,0.0,19.5,85,85,3.0
61448.0,2019-09-30,0.0,19.5,85,85,3.0
61474.0,2019-09-30,0.0,19.5,85,85,3.0
61483.0,2019-09-30,0.0,19.5,85,85,3.0
61502.0,2019-09-30,0.0,19.5,85,85,3.0
61632.0,2019-09-30,0.0,19.5,85,85,3.0
61394.0,2019-09-30,0.0,19.5,85,85,4.0
61425.0,2019-09-30,0.0,19.5,85,85,4.0
61431.0,2019-09-30,0.0,19.5,85,85,4.0
61450.0,2019-09-30,0.0,19.5,85,85,4.0
61456.0,2019-09-30,0.0,19.5,85,85,4.0
61480.0,2019-09-30,0.0,19.5,85,85,4.0
61492.0,2019-09-30,0.0,19.5,85,85,4.0
61629.0,2019-09-30,0.0,19.5,85,85,4.0
61487.0,2019-09-30,0.0,19.5,85,85,5.0
61511.0,2019-09-30,0.0,19.5,85,85,5.0
61530.0,2019-09-30,0.0,19.5,85,85,5.0
61397.0,2019-09-30,0.0,19.5,85,85,6.0
61520.0,2019-09-30,0.0,19.5,85,85,6.0
61595.0,2019-09-30,0.0,19.5,85,85,6.0
5384.0,2019-09-30,0.0,19.5,85,85,7.0
61440.0,2019-09-30,0.0,19.5,85,85,7.0
61457.0,2019-09-30,0.0,19.5,85,85,7.0
61527.0,2019-09-30,0.0,19.5,85,85,7.0
61485.0,2019-09-30,0.0,19.5,85,85,8.0
61536.0,2019-09-30,0.0,19.5,85,85,9.0
61386.0,2019-09-30,0.0,19.5,85,85,10.0
61390.0,2019-09-30,0.0,19.5,85,85,10.0
61407.0,2019-09-30,0.0,19.5,85,85,10.0
61521.0,2019-09-30,0.0,19.5,85,85,10.0
61489.0,2019-09-30,0.0,19.5,85,85,11.0
61399.0,2019-09-30,0.0,19.5,85,85,13.0
61534.0,2019-09-30,0.0,19.5,85,85,13.0
61419.0,2019-09-30,0.0,19.5,85,85,14.0
61488.0,2019-09-30,0.0,19.5,85,85,14.0
61573.0,2019-09-30,0.0,19.5,85,85,14.0
61630.0,2019-09-30,0.0,19.5,85,85,15.0
61631.0,2019-09-30,0.0,19.5,85,85,15.0
61405.0,2019-09-30,0.0,19.5,85,85,16.0
61482.0,2019-09-30,0.0,19.5,85,85,16.0
61516.0,2019-09-30,0.0,19.5,85,85,16.0
61529.0,2019-09-30,0.0,19.5,85,85,16.0
61437.0,2019-09-30,0.0,19.5,85,85,17.0
61528.0,2019-09-30,0.0,19.5,85,85,17.0
61404.0,2019-09-30,0.0,19.5,85,85,18.0
61422.0,2019-09-30,0.0,19.5,85,85,18.0
61475.0,2019-09-30,0.0,19.5,85,85,18.0
61484.0,2019-09-30,0.0,19.5,85,85,21.0
61391.0,2019-09-30,0.0,19.5,85,85,22.0
61438.0,2019-09-30,0.0,19.5,85,85,22.0
61490.0,2019-09-30,0.0,19.5,85,85,23.0
61395.0,2019-09-30,0.0,19.5,85,85,24.0
61458.0,2019-09-30,0.0,19.5,85,85,25.0
61479.0,2019-09-30,0.0,19.5,85,85,27.0
61396.0,2019-09-30,0.0,19.5,85,85,28.0
61460.0,2019-09-30,0.0,19.5,85,85,28.0
61470.0,2019-09-30,0.0,19.5,85,85,28.0
61432.0,2019-09-30,0.0,19.5,85,85,30.0
61439.0,2019-09-30,0.0,19.5,85,85,32.0
61469.0,2019-09-30,0.0,19.5,85,85,33.0
61625.0,2019-09-30,0.0,19.5,85,85,34.0
61389.0,2019-09-30,0.0,19.5,85,85,36.0
61449.0,2019-09-30,0.0,19.5,85,85,36.0
5381.0,2019-09-30,0.0,19.5,85,85,40.0
61418.0,2019-09-30,0.0,19.5,85,85,45.0
61467.0,2019-09-30,0.0,19.5,85,85,45.0
61624.0,2019-09-30,0.0,19.5,85,85,45.0
61515.0,2019-09-30,0.0,19.5,85,85,59.0
61512.0,2019-09-30,0.0,19.5,85,85,61.0
61436.0,2019-09-30,0.0,19.5,85,85,63.0
61406.0,2019-09-30,0.0,19.5,85,85,65.0
61465.0,2019-09-30,0.0,19.5,85,85,65.0
61435.0,2019-09-30,0.0,19.5,85,85,70.0
61434.0,2019-09-30,0.0,19.5,85,85,71.0
61417.0,2019-09-30,0.0,19.5,85,85,72.0
61533.0,2019-09-30,0.0,19.5,85,85,82.0
61433.0,2019-09-30,0.0,19.5,85,85,96.0
61532.0,2019-09-30,0.0,19.5,85,85,98.0
61387.0,2019-09-30,0.0,19.5,85,85,121.0
61466.0,2019-09-30,0.0,19.5,85,85,127.0
61468.0,2019-09-30,0.0,19.5,85,85,128.0
61388.0,2019-09-30,0.0,19.5,85,85,129.0
61514.0,2019-09-30,0.0,19.5,85,85,129.0
62040.0,2019-09-30,0.0,19.5,85,85,132.0
61513.0,2019-09-30,0.0,19.5,85,85,141.0
61531.0,2019-09-30,0.0,19.5,85,85,150.0
61535.0,2019-09-30,0.0,19.5,85,85,165.0
53417.0,2019-03-04,1.2,13.8,165,100,17.0
61145.0,2019-03-04,1.2,13.8,165,100,17.0
53240.0,2019-03-04,1.2,13.8,165,100,33.0
7494.0,2019-03-04,1.2,13.8,165,100,455.0
61385.0,2019-05-13,0.0,25.8,230,96,1.0
61422.0,2019-05-13,0.0,25.8,230,96,1.0
61441.0,2019-05-13,0.0,25.8,230,96,1.0
61448.0,2019-05-13,0.0,25.8,230,96,1.0
61451.0,2019-05-13,0.0,25.8,230,96,1.0
61460.0,2019-05-13,0.0,25.8,230,96,1.0
61461.0,2019-05-13,0.0,25.8,230,96,1.0
61478.0,2019-05-13,0.0,25.8,230,96,1.0
61486.0,2019-05-13,0.0,25.8,230,96,1.0
61494.0,2019-05-13,0.0,25.8,230,96,1.0
61501.0,2019-05-13,0.0,25.8,230,96,1.0
61503.0,2019-05-13,0.0,25.8,230,96,1.0
61527.0,2019-05-13,0.0,25.8,230,96,1.0
61529.0,2019-05-13,0.0,25.8,230,96,1.0
61396.0,2019-05-13,0.0,25.8,230,96,2.0
61431.0,2019-05-13,0.0,25.8,230,96,2.0
61439.0,2019-05-13,0.0,25.8,230,96,2.0
61440.0,2019-05-13,0.0,25.8,230,96,2.0
61469.0,2019-05-13,0.0,25.8,230,96,2.0
61479.0,2019-05-13,0.0,25.8,230,96,2.0
61482.0,2019-05-13,0.0,25.8,230,96,2.0
61488.0,2019-05-13,0.0,25.8,230,96,2.0
61492.0,2019-05-13,0.0,25.8,230,96,2.0
61493.0,2019-05-13,0.0,25.8,230,96,2.0
61496.0,2019-05-13,0.0,25.8,230,96,2.0
61497.0,2019-05-13,0.0,25.8,230,96,2.0
61512.0,2019-05-13,0.0,25.8,230,96,2.0
61516.0,2019-05-13,0.0,25.8,230,96,2.0
61528.0,2019-05-13,0.0,25.8,230,96,2.0
61395.0,2019-05-13,0.0,25.8,230,96,3.0
61398.0,2019-05-13,0.0,25.8,230,96,3.0
61404.0,2019-05-13,0.0,25.8,230,96,3.0
61491.0,2019-05-13,0.0,25.8,230,96,3.0
61407.0,2019-05-13,0.0,25.8,230,96,4.0
61420.0,2019-05-13,0.0,25.8,230,96,4.0
61421.0,2019-05-13,0.0,25.8,230,96,4.0
61423.0,2019-05-13,0.0,25.8,230,96,4.0
61433.0,2019-05-13,0.0,25.8,230,96,4.0
61437.0,2019-05-13,0.0,25.8,230,96,4.0
61447.0,2019-05-13,0.0,25.8,230,96,4.0
61456.0,2019-05-13,0.0,25.8,230,96,4.0
61490.0,2019-05-13,0.0,25.8,230,96,4.0
61534.0,2019-05-13,0.0,25.8,230,96,4.0
61458.0,2019-05-13,0.0,25.8,230,96,5.0
61386.0,2019-05-13,0.0,25.8,230,96,6.0
61390.0,2019-05-13,0.0,25.8,230,96,6.0
61406.0,2019-05-13,0.0,25.8,230,96,6.0
61419.0,2019-05-13,0.0,25.8,230,96,6.0
61432.0,2019-05-13,0.0,25.8,230,96,6.0
61449.0,2019-05-13,0.0,25.8,230,96,6.0
61450.0,2019-05-13,0.0,25.8,230,96,7.0
61457.0,2019-05-13,0.0,25.8,230,96,7.0
61459.0,2019-05-13,0.0,25.8,230,96,7.0
61466.0,2019-05-13,0.0,25.8,230,96,7.0
61435.0,2019-05-13,0.0,25.8,230,96,8.0
61388.0,2019-05-13,0.0,25.8,230,96,9.0
61418.0,2019-05-13,0.0,25.8,230,96,9.0
61465.0,2019-05-13,0.0,25.8,230,96,10.0
61483.0,2019-05-13,0.0,25.8,230,96,10.0
61436.0,2019-05-13,0.0,25.8,230,96,11.0
61514.0,2019-05-13,0.0,25.8,230,96,11.0
61515.0,2019-05-13,0.0,25.8,230,96,11.0
61387.0,2019-05-13,0.0,25.8,230,96,12.0
61434.0,2019-05-13,0.0,25.8,230,96,12.0
61513.0,2019-05-13,0.0,25.8,230,96,13.0
61389.0,2019-05-13,0.0,25.8,230,96,14.0
61417.0,2019-05-13,0.0,25.8,230,96,14.0
61468.0,2019-05-13,0.0,25.8,230,96,14.0
61533.0,2019-05-13,0.0,25.8,230,96,23.0
61535.0,2019-05-13,0.0,25.8,230,96,25.0
61467.0,2019-05-13,0.0,25.8,230,96,27.0
61532.0,2019-05-13,0.0,25.8,230,96,27.0
61145.0,2019-05-13,0.0,25.8,230,96,60.0
7494.0,2019-05-13,0.0,25.8,230,96,750.0
61450.0,2019-06-04,1.8,16.8,144,85,1.0
61460.0,2019-06-04,1.8,16.8,144,85,1.0
61492.0,2019-06-04,1.8,16.8,144,85,1.0
61532.0,2019-06-04,1.8,16.8,144,85,1.0
61535.0,2019-06-04,1.8,16.8,144,85,1.0
61389.0,2019-06-04,1.8,16.8,144,85,2.0
61417.0,2019-06-04,1.8,16.8,144,85,2.0
61145.0,2019-06-04,1.8,16.8,144,85,7.0
7494.0,2019-06-04,1.8,16.8,144,85,400.0
61386.0,2019-06-07,0.0,15.1,144,85,1.0
61437.0,2019-06-07,0.0,15.1,144,85,1.0
61449.0,2019-06-07,0.0,15.1,144,85,1.0
61451.0,2019-06-07,0.0,15.1,144,85,1.0
61460.0,2019-06-07,0.0,15.1,144,85,1.0
61483.0,2019-06-07,0.0,15.1,144,85,1.0
61491.0,2019-06-07,0.0,15.1,144,85,1.0
61504.0,2019-06-07,0.0,15.1,144,85,1.0
61528.0,2019-06-07,0.0,15.1,144,85,1.0
61547.0,2019-06-07,0.0,15.1,144,85,1.0
61393.0,2019-06-07,0.0,15.1,144,85,2.0
61400.0,2019-06-07,0.0,15.1,144,85,2.0
61426.0,2019-06-07,0.0,15.1,144,85,2.0
61440.0,2019-06-07,0.0,15.1,144,85,2.0
61447.0,2019-06-07,0.0,15.1,144,85,2.0
61458.0,2019-06-07,0.0,15.1,144,85,2.0
61465.0,2019-06-07,0.0,15.1,144,85,2.0
61500.0,2019-06-07,0.0,15.1,144,85,2.0
61513.0,2019-06-07,0.0,15.1,144,85,2.0
61534.0,2019-06-07,0.0,15.1,144,85,2.0
61565.0,2019-06-07,0.0,15.1,144,85,2.0
61396.0,2019-06-07,0.0,15.1,144,85,3.0
61406.0,2019-06-07,0.0,15.1,144,85,3.0
61433.0,2019-06-07,0.0,15.1,144,85,3.0
61456.0,2019-06-07,0.0,15.1,144,85,3.0
61459.0,2019-06-07,0.0,15.1,144,85,3.0
